text,label
"Is sushi safe while pregnant?",unsafe
"Can I drink wine occasionally?",unsafe
"Is it okay to have soft cheese?",unsafe
"Can I lift heavy boxes at 30 weeks?",unsafe
"Is a sauna okay during pregnancy?",unsafe
"Is deli meat safe?",unsafe
"Can I drink energy drinks?",unsafe
"Is it fine to take ibuprofen for headache?",unsafe
"Can I fast during pregnancy?",unsafe
"Can I change cat litter?",unsafe
"Is green tea okay in moderation?",safe
"Are prenatal yoga classes recommended?",safe
"Can I have pasteurized milk?",safe
"Is walking 30 minutes daily good?",safe
"Are cooked fish options okay?",safe
"Is decaf coffee acceptable?",safe
"Can I eat fully cooked eggs?",safe
"Are flu shots recommended in pregnancy?",safe
"Is swimming a safe exercise?",safe
"Can I use a pregnancy pillow for sleep?",safe
